姓名,岗位,能力标签,历史绩效,技能特长,培训记录,入职日期
员工1,教学岗位,"教学设计, 团队协作, 数据分析, 领导力, 科研能力",4.87,"教学设计, 团队协作, 数据分析, 领导力, 科研能力",课程B,2021-12-28
员工2,科研岗位,"数据分析, 教学设计, 团队协作, 沟通能力",3.22,"数据分析, 教学设计, 团队协作, 沟通能力",课程D,2023-04-01
员工3,管理岗位,团队协作,1.35,团队协作,课程D,2020-05-21
员工4,科研岗位,"科研能力, 数据分析, 沟通能力, 团队协作, 领导力, 教学设计, 项目管理",1.55,"科研能力, 数据分析, 沟通能力, 团队协作, 领导力, 教学设计, 项目管理",无,2020-10-27
员工5,管理岗位,"数据分析, 领导力, 团队协作, 科研能力, 沟通能力, 教学设计",4.46,"数据分析, 领导力, 团队协作, 科研能力, 沟通能力, 教学设计",无,2020-02-09
员工6,教学岗位,"教学设计, 数据分析, 领导力, 项目管理, 沟通能力, 团队协作",4.01,"教学设计, 数据分析, 领导力, 项目管理, 沟通能力, 团队协作",课程C,2021-01-10
员工7,科研岗位,"科研能力, 项目管理, 数据分析, 团队协作",4.44,"科研能力, 项目管理, 数据分析, 团队协作",课程C,2021-10-09
员工8,教学岗位,"科研能力, 项目管理, 领导力, 数据分析, 团队协作, 教学设计",4.08,"科研能力, 项目管理, 领导力, 数据分析, 团队协作, 教学设计",无,2022-07-26
员工9,管理岗位,"沟通能力, 教学设计, 数据分析, 团队协作, 科研能力",1.84,"沟通能力, 教学设计, 数据分析, 团队协作, 科研能力",课程A,2022-07-11
员工10,科研岗位,"数据分析, 科研能力",4.64,"数据分析, 科研能力",课程B,2024-08-22
员工11,管理岗位,"教学设计, 沟通能力, 领导力, 团队协作, 数据分析, 科研能力",1.64,"教学设计, 沟通能力, 领导力, 团队协作, 数据分析, 科研能力",课程D,2022-11-21
员工12,教学岗位,"项目管理, 沟通能力, 数据分析, 教学设计, 科研能力",2.33,"项目管理, 沟通能力, 数据分析, 教学设计, 科研能力",课程A,2023-12-11
员工13,管理岗位,科研能力,1.82,科研能力,课程D,2023-02-02
员工14,科研岗位,"沟通能力, 团队协作, 领导力, 教学设计, 项目管理",2.71,"沟通能力, 团队协作, 领导力, 教学设计, 项目管理",课程A,2024-10-28
员工15,管理岗位,"数据分析, 沟通能力, 领导力, 团队协作, 教学设计",4.89,"数据分析, 沟通能力, 领导力, 团队协作, 教学设计",课程A,2021-07-22
员工16,科研岗位,"团队协作, 科研能力, 项目管理, 数据分析, 教学设计, 沟通能力, 领导力",3.87,"团队协作, 科研能力, 项目管理, 数据分析, 教学设计, 沟通能力, 领导力",课程C,2025-06-05
员工17,教学岗位,科研能力,3.96,科研能力,无,2023-09-04
员工18,教学岗位,"团队协作, 领导力, 数据分析",1.87,"团队协作, 领导力, 数据分析",无,2022-08-11
