staffId,courseCount,studentEvaluation,awards,publications,patents,projectFunding,position,teamSize,collaborations,innovativeProjects,teaching,research,management,innovation
S001,7,3.7658537495075795,0,6,2,289106,Team Leader,21,7,1,3.368925742837712,3.5329967867417644,3.923885701151175,3.490571064510669
S002,4,4.943424190778208,2,3,0,28295,Team Leader,27,2,4,3.599191823532954,4.464369156918124,4.980682626683555,3.314681319405052
S003,8,4.697827648532168,1,12,0,13807,Team Leader,19,6,1,3.619873852537222,3.5014613211231955,3.0004750471517694,3.320800210660144
S004,5,4.443459042329747,1,19,7,435564,Team Leader,41,2,3,3.794636230915196,4.266196126714895,3.370945819153445,3.6680177574904755
S005,7,3.4719698394979117,1,0,9,157504,Department Head,25,6,1,3.8535778106734986,3.988547700276543,3.7679277798394515,3.477380062602035
S006,3,3.5121366455226477,1,7,1,238067,Department Head,18,1,4,4.599564044148539,4.146588756358801,4.865179818850506,4.860180701019477
S007,7,3.0808671790768627,2,13,2,485008,Manager,6,9,1,3.698773998098666,4.676213926356592,3.140059411494942,3.211668187657168
S008,8,4.421325779371575,2,15,1,975358,Team Leader,15,5,3,3.9364636568827587,3.808763003098049,3.0189708672569964,4.397981476079176
S009,5,3.2217816416236627,1,13,2,957766,Manager,43,2,0,4.249951974102105,4.541822754128541,3.105367671954457,3.3784430795700118
S010,4,3.8786730037315404,1,11,6,692440,Department Head,42,2,4,3.7554518948803386,3.8440721191013747,3.1770868212272365,4.7632742655407005
S011,8,3.4034384046707924,2,18,0,394540,Department Head,38,8,0,4.673129626584666,3.707742753122499,3.075193546412522,4.922630576369815
S012,8,4.791527191347039,1,14,9,877699,Department Head,42,6,0,4.174907208468149,4.917254354626441,3.9595626537130095,3.9309400175399674
S013,3,3.9507404463642235,0,1,7,517923,Department Head,38,4,0,3.588089358441943,3.3687418413579264,4.161514414454656,4.758142960456263
S014,6,4.126551143952767,1,1,9,166981,Department Head,22,9,2,4.428118399579656,3.1806739211552157,3.5433739421380084,3.0102903415094295
S015,5,4.391032172852255,1,18,9,744699,Department Head,34,6,2,4.055295460289572,4.541971851070957,3.796574767951271,4.6398938348162
S016,2,3.2786629088117514,0,16,9,19870,Department Head,19,8,0,4.068911782514494,3.136499410708183,3.1833986702228603,3.457250323049847
S017,8,4.208834758555635,0,19,1,952082,Team Leader,31,0,4,3.9621758967751717,4.674157981406059,3.672740927656844,4.817402618538736
S018,6,4.079682182603346,2,9,2,203196,Manager,38,6,3,3.994023897642498,3.8743867927144873,4.045038383269047,3.0022402229602188
S019,2,3.406122449469539,2,5,8,248683,Department Head,42,5,3,4.530712562132481,4.831027354583828,4.4645436143692905,4.112363470079514
S020,5,4.885707141115962,0,14,6,234677,Team Leader,37,9,1,3.205962958662631,4.443065722243811,3.0066927240859584,4.51327160756987
S021,1,4.197730932977072,0,10,3,26790,Team Leader,28,8,4,3.6687256226209644,4.220809334015915,3.934621533075305,3.517376661395816
S022,6,4.389569866079409,2,4,9,643162,Manager,19,0,2,3.1510067276077782,4.898613594115531,3.5940057529097644,3.3862657291745863
S023,9,4.760935678030515,1,0,4,811721,Department Head,34,3,0,4.506492441494902,3.7932987461041083,4.7056436433838025,3.1681964489359693
S024,1,4.2487080962675865,0,7,1,448345,Manager,46,8,1,3.544603709440599,4.908173873079266,4.431106630468484,3.6528671530065857
S025,3,3.591267371675428,2,11,7,749074,Department Head,21,3,3,4.794860819637768,3.2700025548424136,4.178217068941789,4.119688624617659
S026,7,3.210988519660541,1,11,3,487462,Team Leader,9,9,2,4.053156933318587,3.9675098838648255,3.5545312913935474,3.2316877135605155
S027,4,3.9130691409658205,0,4,8,539773,Team Leader,33,2,2,4.601499542972242,3.53982244478439,4.820678204115069,3.7533907239735975
S028,9,3.436880874433667,1,6,4,830914,Team Leader,8,8,0,4.957862871231923,4.079685557816386,3.090201354440646,3.0181448093054497
S029,3,3.8330198957407324,2,3,8,86188,Team Leader,14,1,3,4.679577718913141,3.3240277557831694,3.2189351973582303,4.637358840999683
S030,5,4.766560517837736,0,5,3,529036,Manager,21,3,4,4.733987520023047,4.683059320620087,3.783260281080712,3.2568974361863825
S031,3,3.648690042010548,1,12,9,742129,Department Head,14,5,2,3.815968990729689,4.692815698629115,3.2488751145937127,3.566685896531163
S032,7,3.2441759094013465,0,19,4,664795,Department Head,21,1,0,4.10344519051868,4.910472625446958,4.91283139511885,3.0368554374764347
S033,5,3.71259567615395,1,14,8,790141,Manager,24,7,4,3.507777128086609,3.3093442817664727,4.595978644286767,3.864481567785025
S034,9,4.813656883091508,2,2,7,648249,Department Head,28,7,3,3.3922261993869056,4.246665101809981,3.5179653032036273,4.6802430054824375
S035,7,3.5442644987692704,2,7,2,30355,Team Leader,9,0,2,4.011015758212068,3.9484746174007395,4.177108457946491,3.784302422890393
S036,2,4.295380241082725,0,19,0,711131,Department Head,38,2,4,4.190097959400841,3.6887674640884667,4.964661030160164,3.358994646847667
S037,4,3.0010407539906314,1,15,2,451015,Team Leader,10,9,4,3.678542491792382,3.7030803222684376,4.768397956263006,4.507397668101039
S038,9,3.7051377126683382,0,12,3,406332,Manager,6,8,4,4.138887035527,3.8255871012135048,4.201596892884396,4.577613963741489
S039,2,3.609562516316058,0,17,1,156542,Department Head,17,4,2,4.774920965027006,4.4098510993779065,4.807447934350541,3.3475069506151334
S040,9,3.3293117062858837,1,9,0,173416,Manager,47,5,2,4.113443169566732,4.196572116536309,4.978369819626717,4.54170821708198
S041,5,4.0681788387508835,1,18,6,305062,Department Head,47,3,1,4.441626192621014,3.9193630255222622,4.486705645787248,4.894595776512676
S042,2,3.9696599427179664,1,16,7,838656,Team Leader,15,9,3,4.61062993471581,3.151866820739244,3.129972818965788,3.3327551738645447
S043,4,4.384872065780541,2,18,6,563586,Manager,27,1,0,4.977457563910885,3.1555306881579144,3.803160472850975,4.5419685850642715
S044,7,3.538824667597043,0,4,4,501708,Department Head,20,7,4,4.206394804353959,3.0046787812515565,4.675651470566491,4.417144009205259
S045,8,3.4882510444955486,0,8,0,866651,Team Leader,35,5,1,4.613700297925172,4.935398776414173,3.461138391610038,3.9471477768701773
S046,3,3.336582084345861,2,11,6,61629,Manager,15,4,0,4.92529863710975,3.0105076371167696,4.661285035501249,3.115840921117597
S047,1,3.4375284391461403,1,0,6,328184,Manager,20,8,1,4.888819451154546,3.2061874920274898,3.2406775240699917,3.1493888355157083
S048,4,4.116204004034683,2,0,8,492734,Department Head,12,0,2,3.2821636975554274,3.629193113618822,3.0938907142956262,4.704829318397295
S049,2,3.8076723421160814,2,14,2,755195,Department Head,8,4,4,3.8127846165470443,4.614860503633523,3.7681812229824994,4.980296745501294
S050,8,3.1297844942179633,2,1,8,290160,Department Head,44,5,0,3.6479801222135992,4.924197571528236,3.0734638748532275,4.352104514373509
S051,4,3.5078308278686894,0,15,0,548248,Team Leader,8,4,0,3.1738500299006986,4.580027117583712,4.914540525966651,3.891916614020643
S052,2,3.4937521256772026,2,7,0,820023,Department Head,29,5,0,4.266481549821921,4.381120464891281,4.652411391587932,4.295147286803815
S053,6,4.392608545679577,0,12,3,213920,Manager,7,5,0,4.471809226392004,4.042601334827139,4.60153937425975,4.18879171845709
S054,6,4.424541179848884,0,0,8,889765,Manager,36,6,0,4.696256190933767,3.173410423724367,4.259555845992306,3.7672245208112436
S055,4,3.2961738599067996,0,15,5,242804,Department Head,7,3,1,3.2455537793254168,4.916341586007861,3.432648046073107,3.131252289148026
S056,6,4.9954809700978835,1,6,2,376965,Department Head,31,7,4,4.752888151750588,4.516784827891363,4.036520733352784,4.6430258948148815
S057,2,3.53356202855057,0,4,0,460857,Manager,33,6,2,4.285851127228506,4.277898770668523,4.194548144860682,3.743667058477449
S058,2,4.953229911665305,0,2,3,822827,Team Leader,36,8,2,4.407892270277019,4.5180716910777,4.050063001720536,4.637571286714188
