staffId,teaching,research,management,innovation,yearsOfExperience,educationLevel,capability_tags,potential_tags,development_tags
S001,3.749080237694725,3.0628583713734683,4.284063292308575,3.1033634423372156,9,PhD,科研骨干,高潜后备,需强化科研
S002,4.901428612819832,4.272820822527561,3.1682799299900974,4.062709263136296,17,Bachelor,教学能手,创新先锋,需强化科研
S003,4.46398788362281,3.6287119621526536,3.3232574281892275,4.081270243220213,17,PhD,科研骨干,创新先锋,管理能力待提升
S004,4.197316968394073,4.017141382329406,4.797108377054158,4.2748598029964135,16,Master,教学能手,高潜后备,需强化科研
S005,3.312037280884873,4.815132947852186,4.21285811931918,4.452182667445323,13,Master,科研骨干,高潜后备,管理能力待提升
S006,3.3119890406724055,3.49858445829775,3.018394103233259,4.951704158925069,19,Bachelor,科研骨干,创新先锋,管理能力待提升
S007,3.116167224336399,3.8207658460712595,3.2029430857320644,4.03260069660239,17,Master,管理专家,高潜后备,创新转化不足
S008,4.73235229154987,4.511102277086097,4.327003538216111,3.645912945882492,4,Master,教学能手,高潜后备,管理能力待提升
S009,4.202230023486417,3.457596330983245,3.0101231676924374,4.590372389537407,12,Master,教学能手,创新先锋,创新转化不足
S010,4.4161451555920905,3.1539598196575858,3.321616102834997,3.5416645025241484,9,Master,管理专家,创新先锋,管理能力待提升
S011,3.041168988591605,3.5795029058275363,4.0974675787331725,3.877942841411272,19,Bachelor,管理专家,高潜后备,管理能力待提升
S012,4.939819704323988,3.322442574508009,4.383790395385386,3.1569127626845317,12,Bachelor,管理专家,创新先锋,管理能力待提升
S013,4.664885281600844,4.859395304685146,4.3039225190052015,3.0507014868309152,9,PhD,管理专家,高潜后备,创新转化不足
S014,3.4246782213565523,4.616240759128834,3.44853861892112,4.92529682935585,7,Master,教学能手,高潜后备,创新转化不足
S015,3.3636499344142012,4.266807513020847,4.4243584426950715,4.671960241024411,14,PhD,教学能手,高潜后备,需强化科研
S016,3.3668090197068676,4.742921180375435,3.4744981749936,4.391948412187396,19,Bachelor,科研骨干,创新先锋,创新转化不足
S017,3.6084844859190754,4.607344153798229,3.6507993963185355,3.8179058888285398,15,Bachelor,科研骨干,高潜后备,创新转化不足
S018,4.049512863264476,3.3731401177720715,4.4929828102360485,3.3465886401416913,16,Bachelor,管理专家,高潜后备,创新转化不足
S019,3.8638900372842313,4.785117996979956,4.29926579809443,3.3128740853421723,5,Bachelor,管理专家,高潜后备,创新转化不足
S020,3.582458280396084,4.078684483831301,4.698446820988356,3.5004857963291904,3,Bachelor,管理专家,创新先锋,需强化科研
S021,4.223705789444759,4.614880310328125,4.3152257846006865,4.098453329412241,12,Bachelor,科研骨干,创新先锋,创新转化不足
S022,3.278987721304084,4.792182599846987,4.136617206670943,4.4291918454001244,4,Bachelor,科研骨干,创新先锋,管理能力待提升
S023,3.5842892970704363,3.6360069499437278,3.187349535656185,4.320394753435463,16,Master,科研骨干,创新先锋,管理能力待提升
S024,3.7327236865873834,3.2201038490553535,3.7354316061188673,3.5598677938918857,7,PhD,科研骨干,创新先锋,创新转化不足
S025,3.912139968434072,3.4558703250838834,3.530404735363451,4.909730561326388,13,Bachelor,科研骨干,高潜后备,创新转化不足
S026,4.570351922786028,3.8542155772525124,3.487979286758167,4.475793833391537,10,Master,科研骨干,创新先锋,管理能力待提升
S027,3.3993475643167193,4.6360295318449865,4.946021109504891,4.108708105022801,7,Master,科研骨干,创新先锋,管理能力待提升
S028,4.028468876827223,4.721461166512687,3.786195449333521,4.223441492468704,14,PhD,管理专家,创新先锋,需强化科研
S029,4.184829137724085,3.0139042610623816,4.784093110354227,3.83920012485558,5,Bachelor,管理专家,高潜后备,管理能力待提升
S030,3.0929008254399957,4.021494605155132,4.262277251994526,3.495461979002315,3,PhD,管理专家,创新先锋,管理能力待提升
S031,4.215089703802876,3.834822006297558,4.589622607083297,3.711945357302523,11,Bachelor,管理专家,创新先锋,创新转化不足
S032,3.341048247374583,3.4442156209414607,4.005274186210384,4.515692220928738,11,Master,科研骨干,高潜后备,管理能力待提升
