teamId,currentStaff,recentChanges
T003,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T007,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T004,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T009,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T003,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T005,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T003,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T007,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T005,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
T009,"[{'staffId': 'S001', 'position': 'Developer'}, {'staffId': 'S002', 'position': 'Manager'}]","[{'staffId': 'S021', 'changeType': 'Resignation', 'position': 'Team Leader'}, {'staffId': 'S022', 'changeType': 'Resignation', 'position': 'Manager'}]"
